,bResult,rResult,gamelength,golddiff,goldblueTop,goldblueJungle,goldblueMiddle,goldblueADC,goldblueSupport,goldredTop,goldredJungle,goldredMiddle,goldredADC,goldredSupport
0,1,0,40,-1044,2249,2707,3057,2851,1813,3011,3031,2896,2976,1807
1,0,1,38,102,2724,2693,2923,2744,1872,2679,2520,2897,2862,1896
2,1,0,40,1233,2722,2849,3251,3157,1974,2464,2677,2553,3099,1927
3,0,1,41,-258,2931,2657,2905,3133,1823,2663,3395,2831,2927,1891
4,1,0,35,156,2740,2589,2975,3165,1811,2849,2822,2832,2905,1716
5,0,1,24,-507,2821,2736,2917,2848,1831,2968,2666,3124,3048,1854
6,1,0,39,1272,3293,3405,3191,3109,1813,2654,2532,3099,3251,2003
7,1,0,43,561,2673,2612,2884,3013,2187,2314,2639,2967,3088,1800
8,0,1,41,428,3362,2910,2926,3132,1961,2150,3026,3100,3134,2453
9,1,0,32,327,2945,3036,3086,2770,1916,2663,2738,3143,2997,1885
10,1,0,52,534,3090,2848,3087,3076,1830,2878,2813,2829,3086,1791
11,1,0,46,-539,2959,2723,2623,3080,1985,2482,2941,3370,3180,1936
12,1,0,38,156,2726,2741,3099,3030,1858,2885,2880,3172,2522,1839
13,0,1,31,-2688,1963,2477,2872,3367,1836,2412,3459,3486,3497,2349
14,1,0,33,1386,2839,2940,3577,3109,2070,2522,2714,2897,2831,2185
15,1,0,38,1225,2621,2774,3063,3411,2092,2283,2816,2726,3058,1853
16,0,1,40,74,2801,2560,2880,2988,1806,2667,2482,3209,2832,1771
17,1,0,39,243,2740,2980,3259,3229,1963,2779,2905,3030,3194,2020
18,1,0,40,962,2798,2786,3218,3021,2372,2637,2641,2962,3064,1929
19,0,1,39,-1337,2838,2551,2970,2986,1789,2974,2924,3181,3451,1941
20,0,1,49,336,2432,2870,3288,3009,1892,2419,2616,3030,3137,1953
21,1,0,35,1493,3250,3285,3005,3171,2042,2657,2772,3042,2870,1919
22,0,1,36,-135,3223,2631,2920,2888,2135,2815,2767,3022,2990,2338
23,1,0,43,980,2975,3192,3182,3086,1812,2675,2845,3035,2678,2034
24,0,1,32,-822,3011,2610,3074,2685,1843,3306,2797,2829,3201,1912
25,1,0,31,2167,3226,2901,2804,3218,1922,2094,2549,2817,2666,1778
26,1,0,36,1462,2241,2973,3408,3464,2063,1998,2586,3162,3133,1808
27,0,1,41,413,2879,2644,3260,2818,1908,2933,2400,2993,2835,1935
28,1,0,31,3972,2332,3540,4081,3497,2604,2294,2491,2730,2738,1829
29,1,0,30,-191,3063,2862,3019,2859,1865,3090,2888,2981,2963,1937
30,0,1,45,842,3080,3360,2919,2922,1939,2651,2574,3128,3123,1902
31,1,0,42,-529,2695,3181,2692,3017,2097,2907,2850,3171,3329,1954
32,0,1,27,-2197,2678,2423,2409,3013,1853,2827,3537,2929,3257,2023
33,0,1,35,-1828,2665,2505,2454,3104,1880,3287,2770,3070,2909,2400
34,0,1,43,-2243,2236,2717,3152,3393,1973,2700,3320,3372,3932,2390
35,1,0,37,-176,2483,2822,2988,3533,2176,2750,3037,3067,3151,2173
36,1,0,40,801,3221,3159,3384,2636,2046,2432,2831,2697,3316,2369
37,0,1,46,407,2646,2619,2720,3174,2292,2466,2885,3004,2880,1809
38,1,0,48,1101,2759,3107,3392,3115,1711,2604,2646,2899,2972,1862
39,1,0,39,-2222,3165,2793,2975,2883,1906,2953,3235,3715,3677,2364
40,0,1,40,895,3524,2818,2811,2864,1887,2341,2654,3050,3146,1818
41,0,1,49,-425,2411,2710,2606,3152,2012,3148,2473,2754,3051,1890
42,1,0,37,568,2498,3169,3079,2870,1778,2265,2433,3244,3077,1807
43,0,1,35,-2461,1902,2652,2815,3266,1924,3432,2834,3541,3195,2018
44,1,0,24,4091,3299,3050,3705,4046,2503,2478,2633,2655,2956,1790
45,1,0,44,-299,2384,2949,3006,3003,1797,2424,2777,2924,3406,1907
46,1,0,54,369,3065,3281,2759,2862,1852,2773,2700,3158,2995,1824
47,0,1,47,-257,2566,3033,2945,2942,1771,2933,2775,2818,3018,1970
48,0,1,33,-125,2797,2646,2618,3036,2251,2832,2696,3229,2894,1822
49,1,0,30,1113,3257,2979,3090,3085,1875,2418,2651,2989,3187,1928
50,0,1,34,-212,2799,2849,3275,3200,2041,2681,2885,3289,3422,2099
51,1,0,49,-1,2288,2890,3357,3005,1805,2713,2821,3135,2902,1775
52,1,0,29,1358,3526,3009,3335,3190,1883,2652,2809,3089,3182,1853
53,1,0,33,1303,2880,3359,3371,2866,2006,2907,2587,3168,2559,1958
54,1,0,29,3214,2025,3210,4176,3384,2304,1962,2188,2685,3230,1820
55,1,0,33,2287,2583,3177,3393,3339,2266,1958,2750,2940,3006,1817
56,1,0,30,2212,1984,3446,3299,3178,2354,1869,2537,2816,2987,1840
57,1,0,42,-1226,2796,2623,2806,3150,1840,3180,3065,2844,3238,2114
58,0,1,55,-1002,2424,2746,2810,3151,1871,2842,2946,3441,2996,1779
59,1,0,38,11,2478,2506,2907,3152,1829,2478,2399,2922,3230,1832
60,1,0,51,1617,3282,2759,2847,3074,2460,2512,2618,2945,2902,1828
61,0,1,36,-568,2087,2808,3228,3126,1996,2531,2727,3284,3341,1930
62,0,1,46,73,3083,2534,2851,3061,2263,2992,2774,3305,2725,1923
63,1,0,40,1653,2147,3264,3974,3302,2182,1931,3084,3086,3096,2019
64,0,1,46,578,2598,2890,2823,3206,1865,2332,2892,3120,2608,1852
65,1,0,46,940,2794,2961,3065,3148,1891,2822,2712,2755,2821,1809
66,1,0,37,1174,2563,3305,3313,3208,2091,2272,2833,2788,3437,1976
67,0,1,29,-1613,3140,2540,3168,2887,1834,2811,2986,3491,3566,2328
68,1,0,45,1055,2644,2802,3432,3323,1922,2182,2994,2990,3047,1855
